LEI,Legal Name_x,Country_x,Status_x,Legal Name_y,Country_y,City,Status_y,Last Update,Next Renewal
549300YWX7WFTLHG5M31,INDUSTRIAL DE OLEAGINOSAS SA DE CV,MX,ACTIVE,INDUSTRIAL DE OLEAGINOSAS SA DE CV,MX,Guadalajara,ACTIVE,2024-09-05T15:58:59Z,2025-09-07T23:00:34Z
549300UEGRQGK7R17O78,INDUSTRIALIZADORA DE MANTECAS SA DE CV,MX,ACTIVE,,,,,,
5493005DXVS1CTOO3X57,UNION GANADERA REGIONAL DE PORCICULTORES DE SONORA,MX,ACTIVE,,,,,,
549300TYTS22863QT708,PROTEINA ANIMAL SA DE CV,MX,ACTIVE,,,,,,
549300AXYTQN0FO50772,INDUSTRIALIZADORA OLEOFINOS SA DE CV,MX,ACTIVE,,,,,,
549300HZXQYSGD9A7505,SKYTEX MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300DO6WEQJBHZPQ48,UNION AGRICOLA REGIONAL DE PRODUCTORES DE MAIZ AMARILLO ASI COMO OTROS GRANOS Y SEMILLAS DEL ESTADO DE CHIHUAHUA,MX,ACTIVE,,,,,,
5493007CICYM7A0SZ714,KI MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
549300OJ92IK6TY05Z38,NEMESIS CAPITAL SA DE CV,MX,ACTIVE,,,,,,
549300OUKISYV616T643,MEXICANA DE LUBRICANTES SA DE CV,MX,ACTIVE,,,,,,
549300SN5WR4G7U5GK09,PROMOTORA AMBIENTAL S A B DE C V,MX,ACTIVE,,,,,,
549300PD0IHUIB4I9X69,CASA DE BOLSA FINAMEX S A B DE C V,MX,ACTIVE,,,,,,
54930028IP45S1XPW077,ORGANIZACION CULTIBA S A B DE C V,MX,ACTIVE,,,,,,
549300Z1RXD7AGT5BR06,CNH DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300TK6ZHQ3FJ26B03,AEROVIAS DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
5493005XIWHMDD43FC47,INGENIO EL MANTE SA DE CV,MX,ACTIVE,,,,,,
549300392T3BSQ8IF242,COPAMEX SA DE CV,MX,ACTIVE,,,,,,
5493000PF3WCYN9ML549,BANCO DE MEXICO,MX,ACTIVE,,,,,,
549300J025WVDS7M5G21,ALIMENTOS BALANCEADOS SIMON BOLIVAR SA DE CV,MX,ACTIVE,,,,,,
549300NNQYN1PTH8GA17,TEAM FOODS MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300VQPBNVKWTN8091,INTERCAM CASA DE BOLSA S.A. DE C.V. INTERCAM GRUPO FINANCIERO,MX,ACTIVE,,,,,,
549300PV16C2TA1DPA40,GRUPO ROTOPLAS S A B DE C V,MX,ACTIVE,,,,,,
54930023VY4YV7E3WU31,CAFES FINOS DE CORDOBA SA DE CV,MX,ACTIVE,,,,,,
549300KXXS1B6ABWIP49,EMPAQUES MODERNOS SAN PABLO S DE RL DE CV,MX,ACTIVE,,,,,,
549300U1TVNQJ17DF754,EMPAQUES MODERNOS DE GUADALAJARA S DE RL DE CV,MX,ACTIVE,,,,,,
549300YGD013730M9C04,HELLMANN WORLDWIDE LOGISTICS SA DE CV,MX,ACTIVE,,,,,,
549300CQJ3CYBEGSQZ72,HR MC HOTEL COMPANY S DE RL DE CV,MX,ACTIVE,,,,,,
549300X6IDI82Z3NY656,HYATT OF BAJA S DE RL DE CV,MX,ACTIVE,,,,,,
5493000WX1UUEJU6LZ45,FRISA FORJADOS SA DE CV,MX,ACTIVE,,,,,,
549300FKT22OBENPO638,PG CKD G F/00972,MX,ACTIVE,,,,,,
549300Z4WKHDPLXERF49,PG CKD A F/00927 SANTA CATARINA,MX,ACTIVE,,,,,,
5493006YSXW63HPR8M23,PG CKD F F/00937,MX,ACTIVE,,,,,,
5493004RQ7AMBJHUKV96,PG CKD I F/00974,MX,ACTIVE,,,,,,
549300LU8NCXXZJCG534,PG CKD L F/00977,MX,ACTIVE,,,,,,
549300WXTMNEFX4SDR18,PG CKD M F/00978,MX,ACTIVE,,,,,,
5493001H8BKOJIMBPP56,PG CKD J F/00975,MX,ACTIVE,,,,,,
549300VN8HLIF8NLXQ87,PG CKD K F/00976,MX,ACTIVE,,,,,,
549300VRB6Y6CULKXE75,PG CKD H F/00973,MX,ACTIVE,,,,,,
549300XJM2PODGDR2687,NATURGY SERVICIOS SA DE CV,MX,ACTIVE,,,,,,
549300T18O1R2ZU5BI21,AGRICOLA GANADERA LOS SAUCES S.P.R. DE R.L.,MX,ACTIVE,,,,,,
549300H2ZXE4KL0NUV88,TV AZTECA S A B DE C V,MX,ACTIVE,,,,,,
549300180D5WNOPAQP68,BANCO AZTECA SA INSTITUCION DE BANCA MULTIPLE,MX,ACTIVE,,,,,,
549300LOVMA0VVQUEX59,NAVISTAR FINANCIAL SA DE CV SOFOM ER,MX,ACTIVE,,,,,,
549300RVJ3DFDA44T735,MINERA REAL DE ANGELES SA DE CV,MX,ACTIVE,,,,,,
54930015Q05TFUQH4Y31,GRANOS DE SINALOA SA DE CV,MX,ACTIVE,,,,,,
529900QFDTNSV2QPYE64,PRO CONFIANZA SA DE CV SOFOM ENR,MX,ACTIVE,,,,,,
549300ZS7ZYTW8PHQA20,WN EL NOGAL SC DE RL DE CV,MX,ACTIVE,,,,,,
549300MUQ1U3FERPZV92,UNION DE CREDITO ALPURA SA DE CV,MX,ACTIVE,,,,,,
549300MX9KSU87WU5083,GRUPO INMOBILIARIO CARR S A P I DE CV,MX,ACTIVE,,,,,,
213800S6IIS9NYRNWM60,CETELEM S A DE C V SOCIEDAD FINANCIERA DE OBJETO MULTIPLE ENTIDAD REGULADA,MX,ACTIVE,,,,,,
549300M5MJ9G2JLU2I02,INMOBILIARIA NACIONAL MEXICANA SA DE CV,MX,ACTIVE,,,,,,
529900KTGCUWV1QVK870,ALD FLEET SA DE CV SOFOM ENR,MX,ACTIVE,,,,,,
5493007GRMPGDJG93Z17,UNIFIN FINANCIERA SAB DE CV,MX,ACTIVE,,,,,,
549300JZEV8EBP56CI09,SOCIEDAD HIPOTECARIA FEDERAL SNC,MX,ACTIVE,,,,,,
549300WIWQK5Q9MCUN92,BBVA MEXICO SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO BBVA MEXICO,MX,ACTIVE,,,,,,
549300GJC57VFJK9A691,GRUPO INDUSTRIAL MIRO SA DE CV,MX,ACTIVE,,,,,,
549300GAJ1RNUB2K3115,"BANCO VE POR MAS, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO VE POR MAS",MX,ACTIVE,,,,,,
5493009A4JCXMX3CZF43,GENERAL CABLE DE MEXICO S A DE C V,MX,ACTIVE,,,,,,
549300DBM1KO8LRPBW07,MINTH MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300V85WBU1KVE1S29,POLLO INDUSTRIALIZADO DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300U2ZR4INDDOO820,GRUPO TRIMEX SA DE CV,MX,ACTIVE,,,,,,
549300SRZSEQBK7NIS70,GRUPO AVICOLA QUINONES S A DE C V,MX,ACTIVE,,,,,,
549300BR2MJVB6M3AW91,CIBANCO S A INSTITUCION DE BANCA MULTIPLE,MX,ACTIVE,,,,,,
549300WNQVWGYLMMLN35,MINERA SAN FRANCISCO DEL ORO SA DE CV,MX,ACTIVE,,,,,,
549300WGLETEK8OV6Y84,GRUPO INDUSTRIAL VIDA SA DE CV,MX,ACTIVE,,,,,,
529900SCRA4S5KBQQ354,PRYSMIAN CABLES Y SISTEMAS DE MEXICO S DE R L DE C V,MX,ACTIVE,,,,,,
5493004FBUY5CX0BH870,GANADERA MEXICALI SA DE CV,MX,ACTIVE,,,,,,
549300TPSPSX62TV0I35,AGROINSUMOS Y SEMILLAS DE LA REGION SA DE CV,MX,ACTIVE,,,,,,
549300SHR0URTIFB5Z32,"INTERCAM BANCO S.A., INSTITUCION DE BANCA MULTIPLE, INTERCAM GRUPO FINANCIERO",MX,ACTIVE,,,,,,
549300I4SG81VEQ9NI59,FINSA CKD A FIDEICOMISO F/00943,MX,ACTIVE,,,,,,
549300J2XLZJG2AO6I24,FABRICA DE HARINAS ELIZONDO SA DE CV,MX,ACTIVE,,,,,,
549300L1K86IY3XOY318,RED DE CARRETERAS DE OCCIDENTE SAPI DE CV,MX,ACTIVE,,,,,,
959800N84S5XHAJ4LH31,GONVAUTO PUEBLA SA DE CV,MX,ACTIVE,,,,,,
549300GCS5D51TQEKR33,CNH SERVICIOS COMERCIALES SA DE CV SOFOM ENR,MX,ACTIVE,,,,,,
213800PRXJ7WA41AIN67,MUFG BANK MEXICO SOCIEDAD ANONIMA INSTITUCION DE BANCA MULTIPLE FILIAL,MX,ACTIVE,,,,,,
5493006O351ESRUOZH88,VARMOXZ SA DE CV,MX,ACTIVE,,,,,,
549300M1SXSIY5LJCH94,CORPORATIVO PLAZA DEL PARQUE SA DE CV,MX,ACTIVE,,,,,,
549300Y8CHR1ZKWFWQ87,PARK SHOPPING CENTER SA DE CV,MX,ACTIVE,,,,,,
549300UJ79PBMJG7XN93,CNH INDUSTRIAL SA DE CV,MX,ACTIVE,,,,,,
549300V431M8PD1L9542,AB&C LEASING DE MEXICO S A P I DE CV,MX,ACTIVE,,,,,,
549300SX2WLFSDVRI059,CONTECON MANZANILLO SA DE CV,MX,ACTIVE,,,,,,
549300RKA2XLN85QGB92,CONCENTRADOS BOVILAC SPR DE RL DE CV,MX,ACTIVE,,,,,,
5493004PTZ4FUKMLM124,TRESMONTES LUCCHETTI MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300XZHKLZPC44OU70,GAS NATURAL DEL NOROESTE SA DE CV,MX,ACTIVE,,,,,,
549300MVHZ20SBIOEQ79,ORBIA ADVANCE CORPORATION S A B DE C V,MX,ACTIVE,,,,,,
549300JUTNWBEQ29HN42,GRAMOSA AGROALIMENTOS SA DE CV,MX,ACTIVE,,,,,,
549300Z25422H0ENQ792,COMERCIALIZADORA COLUMBIA S A P I DE CV,MX,ACTIVE,,,,,,
549300GN8LYYYINWZQ34,SERVICIOS FINANCIEROS SORIANA SAPI DE CV SOFOM ENR,MX,ACTIVE,,,,,,
549300WGWU6ML65DZ873,INDUSTRIAS JOHN CRANE DE MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300RDVXS6MRJRPP54,DINA CAMIONES SA DE CV,MX,ACTIVE,,,,,,
549300089R7PP6M16N81,ACTINVER CASA DE BOLSA S.A DE C.V. GRUPO FINANCIERO ACTINVER,MX,ACTIVE,,,,,,
549300O4PSZOPLYXYE51,KALUZ SA DE CV,MX,ACTIVE,,,,,,
549300M52HQAHI17OM09,GONCAL SA DE CV,MX,ACTIVE,,,,,,
549300R1UMENGYBJDQ03,BANCO SABADELL S A INSTITUCION DE BANCA MULTIPLE,MX,ACTIVE,,,,,,
549300CRZ3PKLGWJE815,SABCAPITAL SA DE CV SOFOM ER,MX,ACTIVE,,,,,,
54930088IXN8N30LRC91,TAMPICO RENEWABLE ENERGY S A P I DE CV,MX,ACTIVE,,,,,,
54930046ELILZ2K3I755,PRODUCTOS INFANTILES SELECTOS SA DE CV,MX,ACTIVE,,,,,,
549300IM7J3MFES6UZ51,FIDEICOMISO DE ADMINISTRACION F/3261,MX,ACTIVE,,,,,,
549300CBSVKV7KTYED13,BICICLETAS VELOCI SA DE CV,MX,ACTIVE,,,,,,
549300WRXKWBK5CD7406,RED AMIGO DAL SAPI DE CV SOFOM ENR,MX,ACTIVE,,,,,,
549300WEPPXE5O03XR55,BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS SOCIEDAD NACIONAL DE CREDITO INSTITUCION DE BANCA DE DESARROLLO,MX,ACTIVE,,,,,,
549300HH88DIIHPWDQ77,REASEGURADORA PATRIA SA,MX,ACTIVE,,,,,,
5493001QP622NCUC2P03,INTERCAMBIO MEXICANO DE COMERCIO SA DE CV,MX,ACTIVE,,,,,,
549300GRLVEZX4JUXB54,ALGODONERA EL AGATE SPR DE RL DE CV,MX,ACTIVE,,,,,,
9598006YPBX5JUDC2T84,TAMOIN MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300E5K4TUFR1CA252,BASECO S A P I DE CV,MX,ACTIVE,,,,,,
4469000001AVO26P9X86,ASOCIACION MEXICANA DE ESTANDARES PARA EL COMERCIO ELECTRONICO AC,MX,ACTIVE,,,,,,
4469000001B5S63TRN53,VIMA MEXICANA SA DE CV,MX,ACTIVE,,,,,,
4469000001B681J64F68,ISOCINDU SA DE CV,MX,ACTIVE,,,,,,
4469000001B68ADC3889,LEX INFORMATICA SA DE CV,MX,ACTIVE,,,,,,
4469000001B6ICFAJ445,SERVICIOS CUTTER MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300CM1NL41Y5NHN41,ALIMENTOS KOWI SA DE CV,MX,ACTIVE,,,,,,
5493000VGOF3UCTUXW26,SIXSIGMA NETWORKS MEXICO SA DE CV,MX,ACTIVE,,,,,,
549300QUU42YL57H0Z43,GANADEROS ASOCIADOS DE QUERETARO SA DE CV,MX,ACTIVE,,,,,,
549300URF1UHU74V8330,AYVI SA DE CV,MX,ACTIVE,,,,,,
4469000001B7P1JQ0763,CODERE MEXICO SA DE CV,MX,ACTIVE,,,,,,
2549000H0WG6XTA5IV30,CI CASA DE BOLSA SA DE CV,MX,ACTIVE,,,,,,
549300F0NVF0EYBC1H34,SERVICIOS AGROPECUARIOS ALPURA SA DE CV,MX,ACTIVE,,,,,,
54930095502LFR3KHD68,WALDO S DOLAR MART DE MEXICO S DE RL DE CV,MX,ACTIVE,,,,,,
4469000001BBV297B884,FONDO SAM BALANCEADO 14 SOCIEDAD ANONIMA DE CAPITAL VARIABLE FONDO DE INVERSION DE RENTA VARIABLE,MX,ACTIVE,,,,,,
